2017-09-13 15:04:18 [Camel (camel-1) thread #1 - JmsConsumer[in]] INFO  c.e.JMSQueueMessageConsumer.MyBean - {"in"}
2017-09-13 15:51:28 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.eightbitplatoon.JMSQueueMessageConsumer.ApacheRouterApplicationTests], using SpringBootContextLoader
2017-09-13 15:51:28 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.eightbitplatoon.JMSQueueMessageConsumer.ApacheRouterApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-09-13 15:51:28 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.eightbitplatoon.JMSQueueMessageConsumer.ApacheRouterApplicationTests]: ApacheRouterApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-09-13 15:51:29 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.eightbitplatoon.JMSQueueMessageConsumer.ApacheRouterApplication for test class com.eightbitplatoon.JMSQueueMessageConsumer.ApacheRouterApplicationTests
2017-09-13 15:51:29 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-09-13 15:51:29 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@419c5f1a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@12b0404f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@769e7ee8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5276e6b0, org.springframework.test.context.transaction.TransactionalTestExecutionListener@71b1176b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6193932a, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@647fd8ce, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@159f197, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@78aab498, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5dd6264, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1ffe63b9, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@51e5fc98]
2017-09-13 15:51:29 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.eightbitplatoon.JMSQueueMessageConsumer.ApacheRouterApplicationTests], using SpringBootContextLoader
2017-09-13 15:51:29 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.eightbitplatoon.JMSQueueMessageConsumer.ApacheRouterApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-09-13 15:51:29 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.eightbitplatoon.JMSQueueMessageConsumer.ApacheRouterApplicationTests]: ApacheRouterApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-09-13 15:51:29 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.eightbitplatoon.JMSQueueMessageConsumer.ApacheRouterApplication for test class com.eightbitplatoon.JMSQueueMessageConsumer.ApacheRouterApplicationTests
